Timestamp,Job Type,Question Type,Question,Answer,Relevance Feedback,Tone Feedback,Relevance Score
2025-05-06 10:55:19,Frontend Developer,General,How do you stay up to date with technology?,I regularly search for new solutions to existing problems and use tools like chatGPT to help gain exposure to new tools and personally explore them to get a good grip on them,Moderately relevant (similarity score: 0.67),😐 Neutral – consider showing more enthusiasm or details.,0.67
2025-05-06 10:55:20,Frontend Developer,Behavioral,What's your approach to working with designers and translating mockups to code?,I will only translate the mockup to code if the design is worth it which most of the times it isn't,Moderately relevant (similarity score: 0.72),✅ Positive tone – sounds confident!,0.72
2025-05-06 10:55:21,Frontend Developer,General,How do you handle stress and pressure?,I am not good at handling stress and panic under pressure which is why I prefer to get things done ahead of time,Moderately relevant (similarity score: 0.67),⚠️ A bit negative – try to frame things more optimistically.,0.67
2025-05-06 10:55:22,Frontend Developer,General,Why do you want to work at our company?,Because you're offering the job of my dreams,"Highly relevant (model match, similarity: 0.34, relevance score: 0.90)",😐 Neutral – consider showing more enthusiasm or details.,0.9
2025-05-06 10:55:22,Frontend Developer,General,What kind of company culture do you thrive in?,I thrive in a culture where employee suggestions are valuable and taken into account when making a decision. I also thrive when the company is willing to try new solutions instead of sticking to one like a thumb rule,"Highly relevant (model match, similarity: 0.47, relevance score: 0.90)",😐 Neutral – consider showing more enthusiasm or details.,0.9
2025-05-06 10:55:24,Frontend Developer,Technical,How do you ensure cross-browser compatibility in your projects?,I use programming languages like javascript and php which automatically makes my projects compatible to different browsers,Moderately relevant (similarity score: 0.76),😐 Neutral – consider showing more enthusiasm or details.,0.76
2025-05-09 19:09:36,AI/ML Engineer,General,Why do you want to work at our company?,"Oh, well, you know, I’ve applied to so many places that at this point, it’s just about whoever finally gives me a break. But yeah, your company seems nice and all. I guess working here could be... fine.","Moderately relevant (model match, similarity: 0.50, relevance score: 0.60)",✅ Positive tone – sounds confident!,0.6
2025-05-09 19:09:37,AI/ML Engineer,General,Tell me about yourself.,"Well, I would love to tell you about myself, but honestly, most people don’t seem that interested. I am just someone who works really hard and doesn’t always get recognized for it, you know? But yeah, I guess I am just your typical overworked, underappreciated candidate trying to survive in this economy.","Low relevance (model match, similarity: 0.29, relevance score: 0.30)",😐 Neutral – consider showing more enthusiasm or details.,0.3
2025-05-09 19:09:37,AI/ML Engineer,General,Where do you see yourself in 5 years?,"Five years? Wow, if I am still alive and still working, that will be a miracle. But I guess I would like to be somewhere where my hard work actually gets noticed for once. Maybe here? Maybe somewhere that actually values me? Who knows?",Low relevance (similarity score: 0.41),😐 Neutral – consider showing more enthusiasm or details.,0.41
2025-05-09 19:09:37,AI/ML Engineer,General,Why should we hire you?,"Well, I mean, I don’t know. You probably have way more qualified candidates lined up, right? I guess if you want someone who will work themselves to the bone without much recognition, then yeah, I am your person.","Low relevance (model match, similarity: 0.38, relevance score: 0.30)",😐 Neutral – consider showing more enthusiasm or details.,0.3
2025-05-09 19:09:38,AI/ML Engineer,General,What kind of company culture do you thrive in?,"I would love to say a supportive, uplifting culture where everyone’s respected and valued… but that feels like asking for too much these days, doesn’t it? I guess I am just used to dealing with whatever gets thrown my way.","Moderately relevant (model match, similarity: 0.36, relevance score: 0.60)",✅ Positive tone – sounds confident!,0.6
2025-05-09 19:09:38,AI/ML Engineer,General,What do you know about our company?,"Oh, well, I tried to look it up, but honestly, I have been so overwhelmed with all these applications that it kind of slipped through the cracks. But you guys seem pretty successful, so you must be doing something right, right?","Highly relevant (model match, similarity: 0.39, relevance score: 0.90)",✅ Positive tone – sounds confident!,0.9
2025-05-09 19:09:38,AI/ML Engineer,General,Do you prefer working independently or in a team?,"Oh, I mean, I can do both. I am used to working alone because, you know, no one ever seems to want to help me out anyway. But yeah, teams are fine too, I guess.","Low relevance (model match, similarity: 0.74, relevance score: 0.30)",😐 Neutral – consider showing more enthusiasm or details.,0.3
2025-05-09 19:09:39,AI/ML Engineer,Behavioral,What challenges did you face in model deployment and how did you overcome them?,"Oh, well, the biggest challenge was getting people to actually care about the work I was doing. I tried to get support, but it felt like I was just talking to a wall, you know? So, yeah, I just powered through it myself like always. Story of my life.","Low relevance (model match, similarity: 0.26, relevance score: 0.30)",😐 Neutral – consider showing more enthusiasm or details.,0.3
2025-05-09 19:09:39,AI/ML Engineer,Behavioral,Describe a project where you implemented an ML model end-to-end.,"Yeah, I worked on a project where I built a model from scratch, deployed it, and basically did everything because, of course, no one else wanted to help. It worked okay, but did anyone acknowledge my effort? Of course not.","Moderately relevant (model match, similarity: 0.51, relevance score: 0.60)",✅ Positive tone – sounds confident!,0.6
2025-05-09 19:09:41,AI/ML Engineer,Technical,How do you handle data preprocessing and cleaning in ML pipelines?,"Well, I do it the way I always do it — by spending way too much time on it while everyone else sits around waiting for me to finish. It is not like anyone is going to jump in and offer help, right? But yeah, I handle it as best as I can.","Low relevance (model match, similarity: 0.47, relevance score: 0.30)",✅ Positive tone – sounds confident!,0.3
